frame_number,source_file,capture_time,delta_prev_photo_seconds,delta_prev_frame_seconds,is_hold
1,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,,,false
2,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
3,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
4,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
5,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
6,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
7,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
8,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
9,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
10,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
11,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
12,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
13,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
14,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
15,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
16,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
17,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
18,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
19,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
20,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
21,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
22,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
23,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
24,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
25,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
26,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
27,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
28,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
29,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
30,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
31,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
32,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
33,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
34,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
35,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
36,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
37,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
38,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
39,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
40,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,0.00,5.00,true
41,ART002-E-25473.JPG,2026-04-03T00:24:26.910000-05:00,199.14,5.00,false
42,ART002-E-25473.JPG,2026-04-03T00:24:26.910000-05:00,0.00,5.00,true
