sequence_number,source_file,capture_time,delta_prev_photo_seconds,repeat_count,base_interval_seconds
25472,ART002-E-25472.JPG,2026-04-03T00:21:07.770000-05:00,,40,5
25473,ART002-E-25473.JPG,2026-04-03T00:24:26.910000-05:00,199.14,3,5
25474,ART002-E-25474.JPG,2026-04-03T00:24:42.890000-05:00,15.98,1,5
25475,ART002-E-25475.JPG,2026-04-03T00:24:42.970000-05:00,0.08,1,5
25476,ART002-E-25476.JPG,2026-04-03T00:24:59.600000-05:00,16.63,1,5
25477,ART002-E-25477.JPG,2026-04-03T00:24:59.820000-05:00,0.22,1,5
25478,ART002-E-25478.JPG,2026-04-03T00:24:59.900000-05:00,0.08,1,5
25479,ART002-E-25479.JPG,2026-04-03T00:25:16.380000-05:00,16.48,1,5
25480,ART002-E-25480.JPG,2026-04-03T00:25:16.810000-05:00,0.43,1,5
25481,ART002-E-25481.JPG,2026-04-03T00:25:17.030000-05:00,0.22,1,5
25482,ART002-E-25482.JPG,2026-04-03T00:25:34.410000-05:00,17.38,1,5
25483,ART002-E-25483.JPG,2026-04-03T00:25:34.630000-05:00,0.22,1,5
25484,ART002-E-25484.JPG,2026-04-03T00:25:34.860000-05:00,0.23,1,5
25485,ART002-E-25485.JPG,2026-04-03T00:25:57.630000-05:00,22.77,1,5
25486,ART002-E-25486.JPG,2026-04-03T00:25:57.900000-05:00,0.27,1,5
25487,ART002-E-25487.JPG,2026-04-03T00:25:58.130000-05:00,0.23,1,5
25488,ART002-E-25488.JPG,2026-04-03T00:26:12.030000-05:00,13.90,1,5
25489,ART002-E-25489.JPG,2026-04-03T00:26:12.290000-05:00,0.26,1,5
25490,ART002-E-25490.JPG,2026-04-03T00:26:12.540000-05:00,0.25,1,5
25491,ART002-E-25491.JPG,2026-04-03T00:27:20.410000-05:00,67.87,1,5
25492,ART002-E-25492.JPG,2026-04-03T00:27:38.970000-05:00,18.56,56,5
25493,ART002-E-25493.JPG,2026-04-03T00:32:19.840000-05:00,280.87,1,5
25494,ART002-E-25494.JPG,2026-04-03T00:32:25.920000-05:00,6.08,1,5
25495,ART002-E-25495.JPG,2026-04-03T00:32:33.540000-05:00,7.62,1,5
25496,ART002-E-25496.JPG,2026-04-03T00:33:27.030000-05:00,53.49,3,5
25497,ART002-E-25497.JPG,2026-04-03T00:33:42.150000-05:00,15.12,7,5
25498,ART002-E-25498.JPG,2026-04-03T00:34:17.030000-05:00,34.88,7,5
25499,ART002-E-25499.JPG,2026-04-03T00:34:51.030000-05:00,34.00,1,5
25500,ART002-E-25500.JPG,2026-04-03T00:34:56.020000-05:00,4.99,1,5
25501,ART002-E-25501.JPG,2026-04-03T00:35:01.030000-05:00,5.01,1,5
25502,ART002-E-25502.JPG,2026-04-03T00:35:06.030000-05:00,5.00,1,5
25503,ART002-E-25503.JPG,2026-04-03T00:35:11.030000-05:00,5.00,1,5
25504,ART002-E-25504.JPG,2026-04-03T00:35:16.020000-05:00,4.99,1,5
25505,ART002-E-25505.JPG,2026-04-03T00:35:21.030000-05:00,5.01,1,5
25506,ART002-E-25506.JPG,2026-04-03T00:35:26.030000-05:00,5.00,1,5
25507,ART002-E-25507.JPG,2026-04-03T00:35:31.030000-05:00,5.00,1,5
25508,ART002-E-25508.JPG,2026-04-03T00:35:36.030000-05:00,5.00,1,5
25509,ART002-E-25509.JPG,2026-04-03T00:35:41.030000-05:00,5.00,1,5
25510,ART002-E-25510.JPG,2026-04-03T00:35:46.030000-05:00,5.00,1,5
25511,ART002-E-25511.JPG,2026-04-03T00:35:51.030000-05:00,5.00,1,5
25512,ART002-E-25512.JPG,2026-04-03T00:35:56.030000-05:00,5.00,1,5
25513,ART002-E-25513.JPG,2026-04-03T00:36:01.030000-05:00,5.00,1,5
25514,ART002-E-25514.JPG,2026-04-03T00:36:06.030000-05:00,5.00,1,5
25515,ART002-E-25515.JPG,2026-04-03T00:36:11.030000-05:00,5.00,1,5
25516,ART002-E-25516.JPG,2026-04-03T00:36:16.030000-05:00,5.00,1,5
25517,ART002-E-25517.JPG,2026-04-03T00:36:21.030000-05:00,5.00,1,5
25518,ART002-E-25518.JPG,2026-04-03T00:36:26.020000-05:00,4.99,1,5
25519,ART002-E-25519.JPG,2026-04-03T00:36:31.020000-05:00,5.00,1,5
25520,ART002-E-25520.JPG,2026-04-03T00:36:36.030000-05:00,5.01,1,5
25521,ART002-E-25521.JPG,2026-04-03T00:36:41.030000-05:00,5.00,1,5
25522,ART002-E-25522.JPG,2026-04-03T00:36:46.020000-05:00,4.99,1,5
25523,ART002-E-25523.JPG,2026-04-03T00:36:51.030000-05:00,5.01,1,5
25524,ART002-E-25524.JPG,2026-04-03T00:36:56.030000-05:00,5.00,1,5
25525,ART002-E-25525.JPG,2026-04-03T00:37:01.030000-05:00,5.00,1,5
25526,ART002-E-25526.JPG,2026-04-03T00:37:06.030000-05:00,5.00,1,5
25527,ART002-E-25527.JPG,2026-04-03T00:37:11.030000-05:00,5.00,1,5
25528,ART002-E-25528.JPG,2026-04-03T00:37:16.030000-05:00,5.00,1,5
25529,ART002-E-25529.JPG,2026-04-03T00:37:21.030000-05:00,5.00,1,5
25530,ART002-E-25530.JPG,2026-04-03T00:37:26.030000-05:00,5.00,1,5
25531,ART002-E-25531.JPG,2026-04-03T00:37:31.030000-05:00,5.00,1,5
25532,ART002-E-25532.JPG,2026-04-03T00:37:36.030000-05:00,5.00,1,5
25533,ART002-E-25533.JPG,2026-04-03T00:37:41.030000-05:00,5.00,1,5
25534,ART002-E-25534.JPG,2026-04-03T00:37:46.030000-05:00,5.00,1,5
25535,ART002-E-25535.JPG,2026-04-03T00:37:51.030000-05:00,5.00,1,5
25536,ART002-E-25536.JPG,2026-04-03T00:37:56.030000-05:00,5.00,1,5
25537,ART002-E-25537.JPG,2026-04-03T00:38:01.030000-05:00,5.00,1,5
25538,ART002-E-25538.JPG,2026-04-03T00:38:06.030000-05:00,5.00,1,5
25539,ART002-E-25539.JPG,2026-04-03T00:38:11.030000-05:00,5.00,1,5
25540,ART002-E-25540.JPG,2026-04-03T00:38:16.030000-05:00,5.00,1,5
25541,ART002-E-25541.JPG,2026-04-03T00:38:21.030000-05:00,5.00,1,5
25542,ART002-E-25542.JPG,2026-04-03T00:38:26.030000-05:00,5.00,1,5
25543,ART002-E-25543.JPG,2026-04-03T00:38:31.030000-05:00,5.00,1,5
25544,ART002-E-25544.JPG,2026-04-03T00:38:36.030000-05:00,5.00,1,5
25545,ART002-E-25545.JPG,2026-04-03T00:38:41.030000-05:00,5.00,1,5
25546,ART002-E-25546.JPG,2026-04-03T00:38:46.030000-05:00,5.00,1,5
25547,ART002-E-25547.JPG,2026-04-03T00:38:51.030000-05:00,5.00,1,5
25548,ART002-E-25548.JPG,2026-04-03T00:38:56.030000-05:00,5.00,1,5
25549,ART002-E-25549.JPG,2026-04-03T00:39:01.030000-05:00,5.00,1,5
25550,ART002-E-25550.JPG,2026-04-03T00:39:06.030000-05:00,5.00,1,5
